[analog/charlm] dev cuda:6 vocab 284 params 173,596 train 8047 seqs
[analog] ep1/6 loss 3.5917 12.9s
[analog] ep2/6 loss 2.6660 12.6s
[analog] ep3/6 loss 2.4298 12.5s
[analog] ep4/6 loss 2.3596 12.5s
[analog] ep5/6 loss 2.3463 12.7s
[analog] ep6/6 loss 2.2332 13.0s

===== SSM 4-WAY CELL =====
variant                           : analog
task                              : charlm
seed                              : 0
params                            : 173596
vocab                             : 284
E                                 : 64
H                                 : 256
L                                 : 128
epochs                            : 6
lr                                : 0.002
lam                               : 0.0
target                            : None
analog                            : {'theta': 1.0, 'noise': 0.02, 'bits': 6, 'rail': 4.0}
bpc                               : 3.329
ppl                               : 10.049
acc                               : 0.3526
rate_emitted                      : 0.2788
rate_state                        : 0.9923
energy_pJ_per_token               : 426480.901
energy_pJ_per_token_conservative  : 494091.006
energy_terms_pJ                   : {'W_in_MAC': 75366.4, 'state_analog_AC': 230.4, 'W_mix_event_at_rz': 16445.7013, 'W_out_MAC': 334438.4}
saved -> ssm3way_runs/analog_charlm_s0_theta1.0.json
