[spikestate/charlm] dev cuda:7 vocab 284 params 173,596 train 8047 seqs
[spikestate] ep1/6 loss 2.9521 18.3s
[spikestate] ep2/6 loss 2.7385 18.5s
[spikestate] ep3/6 loss 2.6182 18.7s
[spikestate] ep4/6 loss 2.5003 17.6s
[spikestate] ep5/6 loss 2.5568 16.5s
[spikestate] ep6/6 loss 2.5043 15.2s

===== SSM 4-WAY CELL =====
variant                           : spikestate
task                              : charlm
seed                              : 2
params                            : 173596
vocab                             : 284
E                                 : 64
H                                 : 256
L                                 : 128
epochs                            : 6
lr                                : 0.002
lam                               : 0.0
target                            : None
analog                            : None
bpc                               : 3.6292
ppl                               : 12.373
acc                               : 0.3024
rate_emitted                      : 0.6424
rate_state                        : 0.6424
energy_pJ_per_token               : 156462.83
energy_pJ_per_token_conservative  : 156462.83
energy_terms_pJ                   : {'W_in_MAC': 75366.4, 'state_MAC': 1177.6, 'W_mix_AC_at_rs': 37887.4454, 'W_out_AC_at_rs': 42031.3847}
saved -> ssm3way_runs/spikestate_charlm_s2.json
