[spikestate/charlm] dev cuda:7 vocab 284 params 173,596 train 8047 seqs
[spikestate] ep1/6 loss 2.9786 15.8s
[spikestate] ep2/6 loss 2.6994 16.0s
[spikestate] ep3/6 loss 2.5980 15.7s
[spikestate] ep4/6 loss 2.5512 15.6s
[spikestate] ep5/6 loss 2.5436 15.6s
[spikestate] ep6/6 loss 2.4598 14.9s

===== SSM 4-WAY CELL =====
variant                           : spikestate
task                              : charlm
seed                              : 0
params                            : 173596
vocab                             : 284
E                                 : 64
H                                 : 256
L                                 : 128
epochs                            : 6
lr                                : 0.002
lam                               : 0.0
target                            : None
analog                            : None
bpc                               : 3.6056
ppl                               : 12.173
acc                               : 0.3011
rate_emitted                      : 0.6668
rate_state                        : 0.6668
energy_pJ_per_token               : 159509.015
energy_pJ_per_token_conservative  : 159509.015
energy_terms_pJ                   : {'W_in_MAC': 75366.4, 'state_MAC': 1177.6, 'W_mix_AC_at_rs': 39331.5624, 'W_out_AC_at_rs': 43633.4521}
saved -> ssm3way_runs/spikestate_charlm_s0.json
