[digital/charlm] dev cuda:4 vocab 284 params 173,596 train 8047 seqs
[digital] ep1/6 loss 2.8358 9.7s
[digital] ep2/6 loss 2.6570 9.7s
[digital] ep3/6 loss 2.4833 10.0s
[digital] ep4/6 loss 2.4075 10.0s
[digital] ep5/6 loss 2.3483 10.0s
[digital] ep6/6 loss 2.2180 9.9s

===== SSM 4-WAY CELL =====
variant                           : digital
task                              : charlm
seed                              : 0
params                            : 173596
vocab                             : 284
E                                 : 64
H                                 : 256
L                                 : 128
epochs                            : 6
lr                                : 0.002
lam                               : 0.0
target                            : None
analog                            : None
bpc                               : 3.3175
ppl                               : 9.97
acc                               : 0.3489
rate_emitted                      : 1.0
rate_state                        : 1.0
energy_pJ_per_token               : 712448.0
energy_pJ_per_token_conservative  : 712448.0
energy_terms_pJ                   : {'W_in_MAC': 75366.4, 'state_MAC': 1177.6, 'W_mix_MAC': 301465.6, 'W_out_MAC': 334438.4}
saved -> ssm3way_runs/digital_charlm_s0.json
