[spikeout/charlm] dev cuda:1 vocab 284 params 173,596 train 8047 seqs
[spikeout] ep1/6 loss 3.1352 18.1s
[spikeout] ep2/6 loss 3.1184 17.6s
[spikeout] ep3/6 loss 3.0858 18.1s
[spikeout] ep4/6 loss 3.1063 17.3s
[spikeout] ep5/6 loss 3.0422 16.1s
[spikeout] ep6/6 loss 3.0652 15.0s

===== SSM 4-WAY CELL =====
variant                           : spikeout
task                              : charlm
seed                              : 1
params                            : 173596
vocab                             : 284
E                                 : 64
H                                 : 256
L                                 : 128
epochs                            : 6
lr                                : 0.002
lam                               : 0.0
target                            : None
analog                            : None
bpc                               : 4.4309
ppl                               : 21.569
acc                               : 0.196
rate_emitted                      : 0.337
rate_state                        : 1.0
energy_pJ_per_token               : 430860.699
energy_pJ_per_token_conservative  : 430860.699
energy_terms_pJ                   : {'W_in_MAC': 75366.4, 'state_MAC': 1177.6, 'W_mix_AC_at_rz': 19878.2989, 'W_out_MAC': 334438.4}
saved -> ssm3way_runs/spikeout_charlm_s1.json
